,LR,KNN,ANN,Cubist,RF,XGB,HistGB,LGB
TP,14,17,18,19,21,21,22,16
Log Kow,4,16,14,14,4,4,5,5
E,16,19,9,5,10,11,14,14
S,22,13,17,12,15,17,16,18
A,2,8,19,15,20,19,19,21
B,3,20,12,17,13,13,11,12
V,6,21,21,18,22,22,20,20
TSPA,1,12,11,21,16,16,18,19
Metal(II),8,15,13,23,17,14,13,13
Metal(III),9,9,5,20,14,15,15,17
average d-electron,12,22,7,16,19,20,17,22
average Pauling electronegativity,10,10,6,11,9,6,6,9
Method,15,23,22,22,23,23,23,23
HT hour,7,11,10,10,18,18,21,15
d(003) nm,5,6,1,7,11,7,8,10
BET m2/g,19,5,4,8,7,8,7,6
PV cm3/g,18,18,8,4,8,12,10,8
APD nm,21,14,20,13,12,9,12,11
pHpzc,23,7,15,9,5,10,9,7
pH,20,3,3,6,6,5,4,4
Time h,11,2,2,2,2,2,2,2
AD g/L,13,1,23,1,1,1,1,1
Ci mg/L,17,4,16,3,3,3,3,3
