,LR,KNN,ANN,Cubist,RF,XGB,HistGB
TP,17,24,15,29,26,26,20
Log Kow,11,11,19,10,5,3,5
MW g/mol,6,25,24,21,22,16,13
E,13,12,3,7,11,8,19
S,4,17,13,17,13,23,26
A,5,14,12,13,23,25,27
B,7,18,11,24,20,17,28
TSPA,1,20,10,19,17,22,22
Metal(II),9,15,9,28,15,9,21
Metal(III),12,9,7,22,14,15,15
M(II)/(III),16,8,22,20,21,20,14
average atomic weight (g/mol),2,23,21,16,16,14,12
average d-electron,3,21,20,18,18,19,18
average Pauling electronegativity,15,22,2,11,9,13,9
Method,20,29,17,26,28,29,24
TemH oC,19,13,23,15,19,18,16
HT hour,8,26,8,9,24,24,23
Calcination Temp,22,28,29,23,29,28,29
Calcination time,27,27,27,25,27,27,25
d(003) nm,14,5,6,6,12,10,10
BET m2/g,25,6,5,8,7,6,7
PV cm3/g,10,16,14,4,8,11,8
APD nm,28,10,25,12,10,12,11
pHpzc,21,7,16,14,4,7,6
pH,24,3,4,5,6,4,4
Tem,29,19,28,27,25,21,17
Time h,18,2,1,2,2,2,2
AD g/L,26,1,26,1,1,1,1
Ci mg/L,23,4,18,3,3,5,3
