,LR,KNN,ANN,Cubist,RF,XGB,HistGB
TP,23,24,25,18,23,21,23
Log Kow,7,20,5,16,17,12,8
MW g/mol,1,12,15,19,15,5,5
E,6,7,13,5,14,16,18
S,4,5,20,20,13,14,13
A,22,8,8,13,11,15,14
B,8,10,2,15,10,9,15
V,3,17,21,22,19,18,20
Metal(II),14,21,4,25,18,22,21
Metal(III),24,22,6,23,20,24,24
Method,25,23,23,24,25,25,25
M(II)/(III),21,2,12,14,22,17,16
TemH oC,10,16,10,17,16,8,12
HT hour,15,19,16,21,21,20,22
2theta,11,11,11,6,12,4,4
d(003),13,18,9,9,5,23,19
BET m2/g,19,4,22,8,7,13,10
PV cm3/g,9,15,14,11,3,2,2
APD nm,16,14,19,7,9,10,11
pHpzc,18,9,18,4,6,7,7
pH,17,3,17,10,8,11,9
Tem,20,25,24,12,24,19,17
Time h,5,6,3,2,4,6,6
AD g/L,12,13,7,3,2,3,3
Ci mg/L,2,1,1,1,1,1,1
