,LR,KNN,ANN,Cubist,RF,XGB,HistGB
TP,19,11,3,22,22,23,24
Log Kow,17,8,20,13,13,9,8
MW g/mol,1,23,21,25,25,21,18
E,6,15,2,7,9,11,10
S,3,19,15,18,16,19,20
A,16,21,14,24,19,24,23
B,14,20,22,12,10,13,12
V,2,22,19,20,24,22,22
Metal(II),20,13,9,19,15,20,16
Metal(III),10,6,10,21,17,25,25
Method,8,25,7,23,7,5,6
M(II)/(III),23,12,16,17,23,16,17
TemH oC,5,9,11,9,11,10,11
HT hour,4,7,8,6,12,12,14
2theta,11,24,25,16,20,8,9
d(003),21,14,24,14,18,18,21
BET m2/g,24,5,5,10,6,7,7
PV cm3/g,9,18,18,3,3,3,4
APD nm,18,17,12,11,14,15,15
pHpzc,13,10,6,8,8,14,13
pH,7,3,4,4,4,4,3
Tem,25,16,23,15,21,17,19
Time h,12,2,1,2,2,2,2
AD g/L,22,1,17,1,1,1,1
Ci mg/L,15,4,13,5,5,6,5
