,median,min,max,missing_%
Log Kow,-0.02,-2.67,4.51,0.0
MW g/mol,331.34,152.15,733.93,0.0
E,1.81,0.7,3.6,0.0
S,2.1,0.7,3.6,0.0
A,0.7,0.31,1.65,0.0
B,1.7,0.45,3.5,0.0
V,2.3,1.13,6.35,0.0
TSPA,76.2,37.3,194.0,0.0
M(II)/(III),3.0,0.5,8.0,0.0
average atomic weight (g/mol),48.06,24.84,73.68,0.0
average d-electron,4.25,0.0,8.89,0.0
average Pauling electronegativity,1.59,1.3,1.89,0.0
TemH oC,70.0,25.0,160.0,13.3
HT hour,24.0,12.0,40.0,13.3
Calcination Temp,400.0,200.0,550.0,65.9
Calcination time,4.0,1.0,12.0,65.9
d(003) nm,0.77,0.25,1.13,2.5
BET m2/g,82.0,0.4,225.7,7.9
PV cm3/g,0.1,0.0,1.46,25.3
APD nm,8.42,0.23,64.17,13.9
pHpzc,7.5,5.5,11.56,24.6
pH,6.7,2.0,12.0,0.0
Tem,25.0,10.0,55.0,0.0
Time h,1.5,0.02,192.0,0.0
AD g/L,0.9,0.01,50.0,0.0
Ci mg/L,40.0,1.0,1687.5,0.0
