,mean,std,median,min,max,skewness,missing_%
Log Kow,0.83,2.34,-0.02,-2.67,4.51,0.53,0.0
MW g/mol,349.41,97.08,331.34,152.15,733.93,0.45,0.0
E,2.04,0.75,1.81,0.7,3.6,0.76,0.0
S,2.33,0.71,2.1,0.7,3.6,0.4,0.0
A,0.83,0.38,0.7,0.31,1.65,0.83,0.0
B,1.73,0.94,1.7,0.45,3.5,0.46,0.0
V,2.41,0.76,2.3,1.13,6.35,1.98,0.0
TSPA,101.65,55.12,76.2,37.3,194.0,0.58,0.0
M(II)/(III),3.02,1.21,3.0,0.5,8.0,1.85,0.0
average atomic weight (g/mol),42.84,16.22,48.06,24.84,73.68,0.12,0.0
average d-electron,3.77,3.69,4.25,0.0,8.89,0.07,0.0
average Pauling electronegativity,1.59,0.17,1.59,1.3,1.89,0.39,0.0
TemH oC,78.59,28.59,70.0,25.0,160.0,1.51,13.34
HT hour,22.93,4.58,24.0,12.0,40.0,-0.15,13.34
Calcination Temp,414.33,72.75,400.0,200.0,550.0,-0.34,65.95
Calcination time,4.69,2.97,4.0,1.0,12.0,1.3,65.95
d(003) nm,0.78,0.11,0.77,0.25,1.13,-0.75,2.53
BET m2/g,85.68,57.63,82.0,0.4,225.7,0.52,7.9
PV cm3/g,0.24,0.33,0.1,0.0,1.46,2.21,25.26
APD nm,12.18,12.0,8.42,0.23,64.17,1.57,13.93
pHpzc,8.02,1.56,7.5,5.5,11.56,0.67,24.59
pH,6.5,2.19,6.7,2.0,12.0,0.35,0.0
Tem,25.34,2.94,25.0,10.0,55.0,2.6,0.0
Time h,9.93,33.26,1.5,0.02,192.0,4.91,0.0
AD g/L,2.57,6.38,0.9,0.01,50.0,6.0,0.0
Ci mg/L,94.44,188.91,40.0,1.0,1687.5,4.98,0.0
