n_studies,repeat,mae,rmse
5,0,30.824232509672612,37.25027478463906
5,1,34.800138426142894,42.116269197226664
5,2,34.49555053513224,41.82475325690603
5,3,39.415653571542435,46.31250642032293
5,4,34.34504406106481,40.17408565736842
5,5,33.28938460326234,40.58673213909042
5,6,43.69238576537983,51.698935634210144
5,7,31.750295318523317,37.31600655109476
5,8,24.108425544484128,29.23801106828289
5,9,31.733804587413363,38.30175088074904
10,0,28.19047663384593,34.370882642521536
10,1,33.1499568356375,40.564647178016656
10,2,38.67836323788723,44.043634042666106
10,3,32.525408413095754,38.87831588944411
10,4,31.429333273974027,38.041949778524355
10,5,36.6296225729686,43.407500855625386
10,6,32.903273488800274,39.40638626042842
10,7,32.84014305343127,41.150552345417
10,8,36.83007346992337,44.46840571598259
10,9,37.1593242148805,43.764689383969504
20,0,27.5241024917382,32.05028942301816
20,1,28.42000505069731,33.15565247868691
20,2,35.998942548408834,44.38533691407553
20,3,33.58421678640592,39.694353460124134
20,4,29.810172785815478,35.51243854210708
20,5,30.76838113766345,39.78127026975627
20,6,35.47991539051651,42.80063698745166
20,7,31.26807495813856,37.59298585469888
20,8,32.88727422996164,37.68263439526537
20,9,32.2983089142251,39.784765988003954
30,0,39.299046176262465,46.976916067456756
30,1,32.995051941316156,42.02195527585247
30,2,31.85840458808954,38.67837583125741
30,3,36.87831131247526,45.3918350601165
30,4,32.283203368778054,39.73459976000749
30,5,28.09246542564736,34.50118992423694
30,6,41.50167052859241,49.7023113759919
30,7,31.240204792724107,38.63696006158903
30,8,36.44396399328782,44.123998037717236
30,9,36.5974917404923,43.16212974758271
40,0,33.081547769821576,39.784624836350815
40,1,36.65984358093379,44.62724320574378
40,2,31.359974661607367,38.665977713980595
40,3,34.76252031950441,42.04429732753176
40,4,38.41459122454522,47.3811897083267
40,5,38.56296289778524,48.2421373344402
40,6,37.399352505516745,47.09741637757497
40,7,34.84420585114252,41.479857617914725
40,8,34.69677499929912,43.08537836576003
40,9,35.30004409914938,43.485220347786424
