study,model,n_rows,mae,rmse
A. Elrafey_2025,global mean,25,19.358132123844012,23.526956993881093
A. Elrafey_2025,per-pollutant mean,25,18.897030487109028,23.098408294268445
Ali M. Abdelkawy_2025,global mean,33,22.14991826883105,23.107020837341263
Ali M. Abdelkawy_2025,per-pollutant mean,33,18.45124374176548,19.219606980141855
Amina Elhaci_2020,global mean,40,21.054671141016815,22.53880715756962
Amina Elhaci_2020,per-pollutant mean,40,24.033171296296295,25.343479906809673
Amir M. Ramezani_2024,global mean,31,17.365996073079852,19.335755344228925
Amir M. Ramezani_2024,per-pollutant mean,31,16.384085213814092,18.46426896139694
Anfal Enad Khalaf1_2026,global mean,34,26.491075727635817,30.254228526617105
Anfal Enad Khalaf1_2026,per-pollutant mean,34,36.243139978213506,41.71613716057251
Asaad F. Hassan_2025,global mean,22,30.0717450656599,31.57199837283212
Asaad F. Hassan_2025,per-pollutant mean,22,30.0717450656599,31.57199837283212
Asmaa S. Hassan_2026,global mean,50,25.847388852006397,29.89368760080606
Asmaa S. Hassan_2026,per-pollutant mean,50,25.07107384615385,30.682653225506535
B.A. Jimenez-L´ opez_2023,global mean,39,33.545751370468366,35.67516020405325
B.A. Jimenez-L´ opez_2023,per-pollutant mean,39,40.892724249300365,42.65693984693348
Caifeng Xia_2022,global mean,23,12.945207418122495,15.691255972902395
Caifeng Xia_2022,per-pollutant mean,23,10.202091733255548,12.250673198884702
Chaerin Park_2025,global mean,46,25.508562328115328,29.53467691997374
Chaerin Park_2025,per-pollutant mean,46,25.134751146886515,30.369795090539597
Fernanda G. Corrêa_2025,global mean,39,27.008180056376368,30.474610482880298
Fernanda G. Corrêa_2025,per-pollutant mean,39,27.008180056376368,30.474610482880298
Garima Rathee_2020,global mean,28,38.508222791160215,42.26130965309468
Garima Rathee_2020,per-pollutant mean,28,56.193038720711776,60.491509985393755
Ghulam Mujtaba_2023,global mean,20,16.402891078679655,21.6297725877169
Ghulam Mujtaba_2023,per-pollutant mean,20,15.355773273273275,18.839740298059798
Hanan Taha_2025,global mean,31,21.0711759105444,24.75634225361325
Hanan Taha_2025,per-pollutant mean,31,20.54971856356131,24.25123081426481
Hanjun Wu_2017,global mean,11,17.830070137777362,18.273891125934913
Hanjun Wu_2017,per-pollutant mean,11,3.2962445171437618,4.913645181383815
Hatem Kh. MOHAMED_2024,global mean,1,2.5338752025490905,2.5338752025490905
Hatem Kh. MOHAMED_2024,per-pollutant mean,1,5.203354123111055,5.203354123111055
Hatem Kh. MOHAMED_2025,global mean,1,24.55028086996147,24.55028086996147
Hatem Kh. MOHAMED_2025,per-pollutant mean,1,27.325576345333282,27.325576345333282
Hatem Kh. MOHAMED_2026,global mean,1,28.553263718581903,28.553263718581903
Hatem Kh. MOHAMED_2026,per-pollutant mean,1,31.3477985675555,31.3477985675555
Hatem Kh. MOHAMED_2027,global mean,1,28.553263718581903,28.553263718581903
Hatem Kh. MOHAMED_2027,per-pollutant mean,1,31.3477985675555,31.3477985675555
Hatem Kh. MOHAMED_2028,global mean,1,27.552518006426794,27.552518006426794
Hatem Kh. MOHAMED_2028,per-pollutant mean,1,30.342243011999948,30.342243011999948
Hatem Kh. MOHAMED_2029,global mean,1,28.553263718581903,28.553263718581903
Hatem Kh. MOHAMED_2029,per-pollutant mean,1,31.3477985675555,31.3477985675555
Hatem Kh. MOHAMED_2030,global mean,1,26.551772294271686,26.551772294271686
Hatem Kh. MOHAMED_2030,per-pollutant mean,1,29.336687456444388,29.336687456444388
Hatem Kh. MOHAMED_2031,global mean,1,24.55028086996147,24.55028086996147
Hatem Kh. MOHAMED_2031,per-pollutant mean,1,27.325576345333282,27.325576345333282
Hatem Kh. MOHAMED_2032,global mean,1,22.548789445651252,22.548789445651252
Hatem Kh. MOHAMED_2032,per-pollutant mean,1,25.31446523422217,25.31446523422217
Hatem Kh. MOHAMED_2033,global mean,1,18.545806597030825,18.545806597030825
Hatem Kh. MOHAMED_2033,per-pollutant mean,1,21.292243011999943,21.292243011999943
Hatem Kh. MOHAMED_2034,global mean,1,13.542078036255283,13.542078036255283
Hatem Kh. MOHAMED_2034,per-pollutant mean,1,16.264465234222172,16.264465234222172
Hatem Kh. MOHAMED_2035,global mean,1,3.47059907038156,3.47059907038156
Hatem Kh. MOHAMED_2035,per-pollutant mean,1,0.8299792102222767,0.8299792102222767
Hatem Kh. MOHAMED_2036,global mean,1,12.541332324100168,12.541332324100168
Hatem Kh. MOHAMED_2036,per-pollutant mean,1,15.258909678666605,15.258909678666605
Hatem Kh. MOHAMED_2037,global mean,1,28.553263718581903,28.553263718581903
Hatem Kh. MOHAMED_2037,per-pollutant mean,1,31.3477985675555,31.3477985675555
Hatem Kh. MOHAMED_2038,global mean,1,21.548043733496144,21.548043733496144
Hatem Kh. MOHAMED_2038,per-pollutant mean,1,24.308909678666616,24.308909678666616
Hatem Kh. MOHAMED_2039,global mean,1,14.542823748410392,14.542823748410392
Hatem Kh. MOHAMED_2039,per-pollutant mean,1,17.270020789777725,17.270020789777725
Hatem Kh. MOHAMED_2040,global mean,1,39.49744470796545,39.49744470796545
Hatem Kh. MOHAMED_2040,per-pollutant mean,1,37.02997921022227,37.02997921022227
Hatem Kh. MOHAMED_2041,global mean,1,33.4929704350348,33.4929704350348
Hatem Kh. MOHAMED_2041,per-pollutant mean,1,30.99664587688894,30.99664587688894
Hatem Kh. MOHAMED_2042,global mean,1,25.48700473779394,25.48700473779394
Hatem Kh. MOHAMED_2042,per-pollutant mean,1,22.952201432444497,22.952201432444497
Hatem Kh. MOHAMED_2043,global mean,1,13.478056191932637,13.478056191932637
Hatem Kh. MOHAMED_2043,per-pollutant mean,1,10.885534765777834,10.885534765777834
Hatem Kh. MOHAMED_2044,global mean,1,1.4691076460713433,1.4691076460713433
Hatem Kh. MOHAMED_2044,per-pollutant mean,1,1.1811319008888361,1.1811319008888361
Hatem Kh. MOHAMED_2045,global mean,1,12.541332324100168,12.541332324100168
Hatem Kh. MOHAMED_2045,per-pollutant mean,1,15.258909678666605,15.258909678666605
Hatem Kh. MOHAMED_2046,global mean,1,18.545806597030825,18.545806597030825
Hatem Kh. MOHAMED_2046,per-pollutant mean,1,21.292243011999943,21.292243011999943
Hatem Kh. MOHAMED_2047,global mean,1,25.551026582116577,25.551026582116577
Hatem Kh. MOHAMED_2047,per-pollutant mean,1,28.331131900888835,28.331131900888835
Hatem Kh. MOHAMED_2048,global mean,1,27.552518006426794,27.552518006426794
Hatem Kh. MOHAMED_2048,per-pollutant mean,1,30.342243011999948,30.342243011999948
Hatem Kh. MOHAMED_2049,global mean,1,28.553263718581903,28.553263718581903
Hatem Kh. MOHAMED_2049,per-pollutant mean,1,31.3477985675555,31.3477985675555
Hatem Kh. MOHAMED_2050,global mean,1,28.553263718581903,28.553263718581903
Hatem Kh. MOHAMED_2050,per-pollutant mean,1,31.3477985675555,31.3477985675555
Jianyang Gao_2022,global mean,39,21.361149303930443,24.16197655057743
Jianyang Gao_2022,per-pollutant mean,39,16.869062970199288,20.301011573525567
L. Santamaría_2020,global mean,220,24.101055996131212,27.355461540780023
L. Santamaría_2020,per-pollutant mean,220,41.59518530058054,46.15609515752795
Mehak Bansal_2025,global mean,18,14.838333068739653,17.66388723868384
Mehak Bansal_2025,per-pollutant mean,18,22.35608402089508,24.323471727354335
Minghao Sui_2012,global mean,90,26.20877504837776,30.729445433638734
Minghao Sui_2012,per-pollutant mean,90,26.20877504837776,30.729445433638734
Mohamed E. M. Hassouna_2019,global mean,11,18.307742652853975,20.578753604538488
Mohamed E. M. Hassouna_2019,per-pollutant mean,11,18.307742652853975,20.578753604538488
Mohammad Noori Sepehr_2016,global mean,81,22.401807458227015,24.424021251298093
Mohammad Noori Sepehr_2016,per-pollutant mean,81,22.401807458227015,24.424021251298093
Mohammad Saood Manzar_2024,global mean,66,44.998636379348234,45.04149583879934
Mohammad Saood Manzar_2024,per-pollutant mean,66,40.72195511426964,40.769310758515005
Morgana Rosset_2019,global mean,45,27.301729334903474,28.95451209504248
