study,model,n_rows,mae,rmse,r2
A. Elrafey_2025,LR,25,26.01216610623926,29.9922101594843,-0.7185671445800657
A. Elrafey_2025,KNN,25,17.8840894332517,22.47631056618338,0.03483933893721236
A. Elrafey_2025,ANN,25,25.634737492190535,29.842464979467486,-0.7014490526928072
A. Elrafey_2025,Cubist,25,21.661040498315177,26.046464702118296,-0.2961257323613058
A. Elrafey_2025,RF,25,16.807806447326985,19.995467759497807,0.23614187958593058
A. Elrafey_2025,XGB,25,20.365676843224843,23.54494685061874,-0.059119568948628576
A. Elrafey_2025,HistGB,25,16.943300680579455,20.200233925636546,0.22041699824380334
Ali M. Abdelkawy_2025,LR,33,26.780663593597215,27.896766211656196,-5.746661436665066
Ali M. Abdelkawy_2025,KNN,33,31.772727272727273,32.6497714503115,-8.241479025446498
Ali M. Abdelkawy_2025,ANN,33,36.39952294087324,38.13271270450901,-11.605979425193622
Ali M. Abdelkawy_2025,Cubist,33,8.906426747639975,11.611197899950252,-0.16878665824633066
Ali M. Abdelkawy_2025,RF,33,18.927887727548438,20.09153603562694,-2.499511881599995
Ali M. Abdelkawy_2025,XGB,33,28.993518973841812,29.862451432011003,-6.730936461542204
Ali M. Abdelkawy_2025,HistGB,33,20.966285069949535,21.939144254246973,-3.1727326355441248
Amina Elhaci_2020,LR,40,10.61876611392267,12.522621068733303,-1.4237914616523977
Amina Elhaci_2020,KNN,40,8.102152777777778,10.174091105476247,-0.5999117115279355
Amina Elhaci_2020,ANN,40,7.796938392827537,9.045569535880633,-0.2646682221844181
Amina Elhaci_2020,Cubist,40,17.22902801407708,20.98182400006796,-5.804422194313501
Amina Elhaci_2020,RF,40,35.329017084054044,36.53669906259179,-19.63304803140406
Amina Elhaci_2020,XGB,40,28.368079213036435,29.175615741266057,-12.1566352265882
Amina Elhaci_2020,HistGB,40,28.229891200421356,28.758789223449522,-11.783387935891776
Amir M. Ramezani_2024,LR,31,77.54425355028404,79.5801407263103,-18.869831780283167
Amir M. Ramezani_2024,KNN,31,28.84193548387097,35.15635582421349,-2.8778632286983794
Amir M. Ramezani_2024,ANN,31,14.992020237151891,19.312853882442663,-0.17024742497890233
Amir M. Ramezani_2024,Cubist,31,15.215781673308342,17.90853771835232,-0.006248014994189255
Amir M. Ramezani_2024,RF,31,22.12433825069012,24.739551792369888,-0.9202971581910602
