,LR,KNN,ANN,Cubist,RF,XGB,HistGB
TP,16,26,21,29,26,28,15
Log Kow,11,9,16,18,5,3,7
MW g/mol,4,17,26,27,22,16,12
E,12,10,3,6,11,11,16
S,14,18,24,20,14,30,27
A,5,15,11,14,18,25,25
B,9,25,23,16,16,23,18
V,17,23,25,23,23,24,24
TSPA,1,20,9,13,13,21,21
Metal(II),6,19,10,30,17,12,17
Metal(III),13,11,6,21,15,14,22
M(II)/(III),18,14,18,17,19,18,13
average atomic weight (g/mol),2,28,20,11,25,19,23
average d-electron,3,27,15,19,21,22,28
average Pauling electronegativity,15,13,7,15,9,9,8
Method,21,30,13,28,29,29,30
TemH oC,20,22,17,22,20,15,14
HT hour,7,12,5,10,24,20,20
Calcination Temp,23,29,30,26,30,27,29
Calcination time,28,24,27,25,27,26,26
d(003) nm,8,6,8,8,12,8,10
BET m2/g,24,5,2,7,6,6,6
PV cm3/g,10,16,12,4,8,10,9
APD nm,29,8,22,12,10,13,11
pHpzc,26,7,19,9,4,7,5
pH,25,2,4,5,7,5,4
Tem,30,21,28,24,28,17,19
Time h,19,3,1,2,2,2,2
AD g/L,27,1,29,1,1,1,1
Ci mg/L,22,4,14,3,3,4,3
