model,repeat,r2,mae,rmse
global mean,0,-3.511151310231497e-05,25.20550028416314,28.23044200811302
per-pollutant mean,0,0.18452374283169592,21.635490684597418,25.49269290074217
per-study mean,0,0.411352261219749,17.060466596275788,21.658969703704663
global mean,1,-0.0008263197600830718,24.6089171461479,27.842257807779294
per-pollutant mean,1,0.18232004799920587,21.05037185210619,25.166149167401887
per-study mean,1,0.49246817786335684,15.595060314261696,19.82698739020266
global mean,2,-0.0010054563675976347,24.701358633742533,27.792969300032297
per-pollutant mean,2,0.16306222710025142,21.69111226600905,25.413431459763977
per-study mean,2,0.38837416212316933,16.881673203863357,21.72499259913074
global mean,3,-0.002763162785442752,25.17364964304247,28.624516171843943
per-pollutant mean,3,0.1482053880660904,22.13843006893871,26.38192086380471
per-study mean,3,0.4034538389498086,17.229219285094793,22.078064440048276
global mean,4,-0.0028048071108153216,23.910441441931308,27.393878302838566
per-pollutant mean,4,0.17766388733735305,20.9353236392475,24.806757420258247
per-study mean,4,0.4158622661848317,16.411737842310824,20.90754062061652
global mean,5,-0.0124500460759287,24.7663785059204,28.215991469772806
per-pollutant mean,5,0.16700210758669998,21.063051096224278,25.593546154476808
per-study mean,5,0.394366418912409,17.216675819068552,21.82295147884599
global mean,6,-0.0011082606976924314,24.213392641308584,27.31985974479236
per-pollutant mean,6,0.17530347721244222,21.150510253773017,24.796193950070087
per-study mean,6,0.41485765579910416,16.543014754293786,20.88664602149923
global mean,7,-0.0007855555029789851,25.505690959043125,28.864764086590316
per-pollutant mean,7,0.16959653563356514,22.36085591549163,26.2931170183479
per-study mean,7,0.3775529534073624,18.289829110622772,22.76400662889588
global mean,8,-0.00025216644784098463,26.360686215392132,29.188665683937614
per-pollutant mean,8,0.23405840297876435,21.830663237279733,25.54214229192694
per-study mean,8,0.49728047713754564,16.411938752651146,20.692948055216526
global mean,9,-0.00266678744333837,25.094336942538348,28.028854260463227
per-pollutant mean,9,0.19529026233330227,21.2153045247513,25.10999689398576
per-study mean,9,0.45865856723795473,15.749641078408148,20.59504118017392
global mean,10,-8.838064321836647e-05,25.09839780304501,28.18705458364838
per-pollutant mean,10,0.24117181549820443,20.93023083179725,24.552868186219794
per-study mean,10,0.49545695726207406,15.898537686819425,20.02071653595566
global mean,11,-0.0015101512432407205,24.683440496807773,27.667795358036244
per-pollutant mean,11,0.1356602942394478,21.794911987007783,25.703313243437886
per-study mean,11,0.32938984110878033,18.009921949614817,22.64028768662805
global mean,12,-0.009560343963624707,24.674567466417543,28.135410510558444
per-pollutant mean,12,0.1884078892874127,21.058836712604275,25.226443286537
per-study mean,12,0.45065100481029763,16.598979916259704,20.754452532167885
global mean,13,-0.013568809253965197,24.905370460389012,28.080121518402397
per-pollutant mean,13,0.21315518464193117,20.808376445405514,24.740980554064237
per-study mean,13,0.5278849732620445,15.056752179275016,19.16444629387061
global mean,14,-0.030356774336269376,25.039967945322815,28.36588058645941
per-pollutant mean,14,0.126853494354788,21.93573563887623,26.11235341460509
per-study mean,14,0.3525178079586969,17.490890117930554,22.486215529869988
global mean,15,-0.003776953802525407,23.10402494792226,26.80244285338236
per-pollutant mean,15,0.2011992283341174,19.712022895180482,23.9097484184518
per-study mean,15,0.3717978021054291,16.195574760759126,21.203399413455795
global mean,16,-1.5664368102408233e-05,24.7563243162176,27.92188401627399
per-pollutant mean,16,0.13582404261597547,21.608969153972858,25.956277407848336
per-study mean,16,0.4585493683803329,16.023900368105867,20.545690879666843
global mean,17,-0.0020189433498591924,25.936327401580517,29.008888850997465
per-pollutant mean,17,0.18227809304580445,22.022608862833394,26.205710826662777
per-study mean,17,0.4651325668875743,16.901652627510423,21.194159860114706
global mean,18,-0.00317845045991505,24.732138381272335,28.142137219708108
per-pollutant mean,18,0.1667419909439447,21.759852405859665,25.648249364521117
per-study mean,18,0.44824923685763096,16.594492908255752,20.87081701285602
global mean,19,-0.0075118992468923285,24.88182847077325,28.0501783269779
per-pollutant mean,19,0.19216993352375156,21.735378739716005,25.117160518451946
per-study mean,19,0.3954678926190053,17.137024268979474,21.728023403826768
