model,repeat,r2,mae,rmse
LR,0,0.4389747467368983,17.224503444183988,21.14468691439501
KNN,0,0.7582746712944777,7.72766901371772,13.879414104463999
ANN,0,0.5693657984470013,14.106181110092141,18.525260058221793
Cubist,0,0.792056856443903,8.1019870704746,12.873076683905445
RF,0,0.8007454304700682,8.348915176466084,12.601266567331063
XGB,0,0.8738986335471912,5.464183455599154,10.024666884692165
HistGB,0,0.8638459784573121,5.6191529151445065,10.416583283822622
LR,1,0.4217729951728604,16.820435647097984,21.16285600099046
KNN,1,0.6878310693873209,7.738418121372165,15.549625358088983
ANN,1,0.5792194361129674,13.746911208403873,18.053147363889327
Cubist,1,0.7350063538929654,8.346723922169888,14.326589656126762
RF,1,0.7633595230794118,8.603809564947117,13.538470642092516
XGB,1,0.842841031634039,5.912232301424949,11.033026879438182
HistGB,1,0.8402093477777836,6.323506245246649,11.125019382252757
LR,2,0.3705641210186783,17.498894545447197,22.03902983094629
KNN,2,0.7121235758685245,8.456328981054464,14.90458111851661
ANN,2,0.45672132076474703,15.195442941129668,20.47519545203484
Cubist,2,0.7535325696312853,8.520393570928768,13.791023354384574
RF,2,0.766676599032488,8.828018375517077,13.418249854598477
XGB,2,0.8493028472293949,6.339250376353077,10.78373603898236
HistGB,2,0.8393076773225879,6.801283914248304,11.13561710422468
LR,3,0.3843227479246728,17.737507264798918,22.429289825322194
KNN,3,0.7334694416155094,8.252550483071687,14.757489182752504
ANN,3,0.5534160765816244,14.20598100534498,19.102513329576073
Cubist,3,0.7909579257472322,8.38446903474928,13.06940517346625
RF,3,0.7783378375854975,8.81774788114554,13.458131013858562
XGB,3,0.8672262998807285,6.234954328462889,10.415856743754878
HistGB,3,0.860207343029277,6.308429860231224,10.687623560365937
LR,4,0.4050744566782417,17.5179049505152,21.09971681005661
KNN,4,0.7635299778574846,7.092198237268985,13.302502968764603
ANN,4,0.5833500732947247,13.56965539159017,17.65757149541731
Cubist,4,0.8369273178594014,6.882512979391095,11.046785613165456
RF,4,0.8218180464561989,7.924493169341536,11.547212991375496
XGB,4,0.8736851472146525,5.6169186363920485,9.722378592456492
HistGB,4,0.8825560687791945,5.683502019613096,9.374769718041886
LR,5,0.34910680111920456,17.76366659779589,22.623686806573552
KNN,5,0.7399368566590225,7.238181084763544,14.30039115809234
ANN,5,0.5365022172044229,14.390627223420934,19.0911611519354
Cubist,5,0.8295679857755874,7.4965753898419,11.576681937178996
RF,5,0.7817340433485999,8.741430379163257,13.100911556653605
