model,r2_mean,r2_std,mae_mean,mae_std,rmse_mean,rmse_std
XGB,0.842,0.029,6.277,0.558,11.092,0.952
HistGB,0.85,0.028,6.344,0.53,10.785,0.957
KNN,0.733,0.061,7.821,0.805,14.372,1.467
Cubist,0.793,0.032,8.041,0.566,12.723,0.967
RF,0.784,0.033,8.608,0.48,12.974,0.921
ANN,0.536,0.045,14.411,0.699,19.062,0.904
per-study mean,0.427,0.053,16.665,0.801,21.178,0.947
LR,0.4,0.04,17.391,0.544,21.702,0.731
per-pollutant mean,0.179,0.03,21.422,0.606,25.388,0.64
global mean,-0.005,0.007,24.868,0.68,28.093,0.569
