study,model,mae,rmse,r2,tp,metal2,metal3,n_rows,rr_spread,metal_pair
A. Elrafey_2025,Cubist,21.661040498315177,26.046464702118296,-0.2961257323613058,Ciprofloxacin,Ni,Fe,25,23.35014607003502,Ni-Fe
Ali M. Abdelkawy_2025,Cubist,8.906426747639975,11.611197899950252,-0.1687866582463306,Levofloxacin,Znco,Fe,33,10.906650216239353,Znco-Fe
Amina Elhaci_2020,Cubist,17.22902801407708,20.98182400006796,-5.804422194313501,Amoxicillin,Mg,Al,40,8.146016879731286,Mg-Al
Amir M. Ramezani_2024,Cubist,15.215781673308342,17.90853771835232,-0.0062480149941892,Doxycycline,Zn,Ce,31,18.14796057738388,Zn-Ce
Anfal Enad Khalaf1_2026,Cubist,35.37569674323587,40.8576809483907,-1.3377307809531382,Amoxicillin,Ca,Al,34,27.12432589500552,Ca-Al
Asaad F. Hassan_2025,Cubist,31.18053473732689,32.04778849656771,-0.0450344357199885,Erythromycin,Ni,Fe,22,32.087394819947114,Ni-Fe
Asmaa S. Hassan_2026,Cubist,22.244705643514,27.860039560042814,0.1063438622522737,Levofloxacin,Cu,Fe,50,29.770317723080346,Cu-Fe
B.A. Jimenez-L´ opez_2023,Cubist,9.691590056458846,10.870330854514016,0.1983419467080179,Diclofenac,Mg,Al,39,12.299534867593653,Mg-Al
Caifeng Xia_2022,Cubist,20.71101994899489,22.5176091139978,-2.9880677405245084,Tetracycline,Mg,Al,23,11.529051793207618,Mg-Al
Chaerin Park_2025,Cubist,28.458743129112097,35.74368211530333,-0.4830255332264848,Ciprofloxacin,Mg,Al,46,29.67547190138301,Mg-Al
Fernanda G. Corrêa_2025,Cubist,14.107307477119642,17.565662744093903,-0.0555832967742753,Ibuprofen,Mg,Al,39,17.320434823731503,Mg-Al
Garima Rathee_2020,Cubist,43.0351756640843,47.79684353519123,-2.149779453835495,Tetracycline,Nial,Ti,28,27.42560885676052,Nial-Ti
Ghulam Mujtaba_2023,Cubist,14.392757987976074,19.671966625244213,-0.4200809911736161,Amoxicillin,Mg,Al,20,16.93672434619361,Mg-Al
Hanan Taha_2025,Cubist,23.616656272642075,27.50681809832924,-0.3701839760624856,Ciprofloxacin,Ni,Al,31,23.88752380810526,Ni-Al
Hanjun Wu_2017,Cubist,3.589560595425692,4.043037979998445,-0.0201239681523563,Tetracycline,Mg,Fe,11,4.19834078427527,Mg-Fe
Hatem Kh. MOHAMED_2024,Cubist,20.458526611328125,20.458526611328125,,Ciprofloxacin,Zn,Al,1,,Zn-Al
Hatem Kh. MOHAMED_2025,Cubist,3.825355529785156,3.825355529785156,,Ciprofloxacin,Zn,Al,1,,Zn-Al
Hatem Kh. MOHAMED_2026,Cubist,7.339752197265625,7.339752197265625,,Ciprofloxacin,Zn,Al,1,,Zn-Al
Hatem Kh. MOHAMED_2027,Cubist,3.3231658935546875,3.3231658935546875,,Ciprofloxacin,Zn,Al,1,,Zn-Al
Hatem Kh. MOHAMED_2028,Cubist,0.3379974365234375,0.3379974365234375,,Ciprofloxacin,Zn,Al,1,,Zn-Al
Hatem Kh. MOHAMED_2029,Cubist,7.339752197265625,7.339752197265625,,Ciprofloxacin,Zn,Al,1,,Zn-Al
Hatem Kh. MOHAMED_2030,Cubist,3.51043701171875,3.51043701171875,,Ciprofloxacin,Zn,Al,1,,Zn-Al
Hatem Kh. MOHAMED_2031,Cubist,0.4977874755859375,0.4977874755859375,,Ciprofloxacin,Zn,Al,1,,Zn-Al
Hatem Kh. MOHAMED_2032,Cubist,0.4586715698242187,0.4586715698242187,,Ciprofloxacin,Zn,Al,1,,Zn-Al
Hatem Kh. MOHAMED_2033,Cubist,0.4999961853027344,0.4999961853027344,,Ciprofloxacin,Zn,Al,1,,Zn-Al
Hatem Kh. MOHAMED_2034,Cubist,4.3876495361328125,4.3876495361328125,,Ciprofloxacin,Zn,Al,1,,Zn-Al
Hatem Kh. MOHAMED_2035,Cubist,10.723060607910156,10.723060607910156,,Ciprofloxacin,Zn,Al,1,,Zn-Al
Hatem Kh. MOHAMED_2036,Cubist,3.613864898681648,3.613864898681648,,Ciprofloxacin,Zn,Al,1,,Zn-Al
Hatem Kh. MOHAMED_2037,Cubist,10.005962371826172,10.005962371826172,,Ciprofloxacin,Zn,Al,1,,Zn-Al
Hatem Kh. MOHAMED_2038,Cubist,0.358367919921875,0.358367919921875,,Ciprofloxacin,Zn,Al,1,,Zn-Al
Hatem Kh. MOHAMED_2039,Cubist,1.8967819213867188,1.8967819213867188,,Ciprofloxacin,Zn,Al,1,,Zn-Al
Hatem Kh. MOHAMED_2040,Cubist,18.14728546142578,18.14728546142578,,Ciprofloxacin,Zn,Al,1,,Zn-Al
Hatem Kh. MOHAMED_2041,Cubist,15.353036880493164,15.353036880493164,,Ciprofloxacin,Zn,Al,1,,Zn-Al
Hatem Kh. MOHAMED_2042,Cubist,13.625595092773438,13.625595092773438,,Ciprofloxacin,Zn,Al,1,,Zn-Al
Hatem Kh. MOHAMED_2043,Cubist,1.8379783630371092,1.8379783630371092,,Ciprofloxacin,Zn,Al,1,,Zn-Al
Hatem Kh. MOHAMED_2044,Cubist,1.2090950012207031,1.2090950012207031,,Ciprofloxacin,Zn,Al,1,,Zn-Al
Hatem Kh. MOHAMED_2045,Cubist,4.973487854003913,4.973487854003913,,Ciprofloxacin,Zn,Al,1,,Zn-Al
Hatem Kh. MOHAMED_2046,Cubist,0.21710205078125,0.21710205078125,,Ciprofloxacin,Zn,Al,1,,Zn-Al
Hatem Kh. MOHAMED_2047,Cubist,5.3961334228515625,5.3961334228515625,,Ciprofloxacin,Zn,Al,1,,Zn-Al
Hatem Kh. MOHAMED_2048,Cubist,5.9698028564453125,5.9698028564453125,,Ciprofloxacin,Zn,Al,1,,Zn-Al
Hatem Kh. MOHAMED_2049,Cubist,5.889656066894531,5.889656066894531,,Ciprofloxacin,Zn,Al,1,,Zn-Al
