feature,VIF
TemH oC,2463649.5510162413
HT hour,1553488.7671493862
d(003) nm,1075561.1689983606
A,779369.8807803164
Calcination Temp,420663.7992553461
PV cm3/g,337441.0855837945
TSPA,228125.79266728592
MW g/mol,158794.8241498604
APD nm,140790.8857779988
Calcination time,131557.9418563695
B,98033.10514987617
M(II)/(III),78993.08589142727
BET m2/g,71946.88905468468
average d-electron,60975.969284457366
V,52350.41623774637
S,49351.017111888235
Log Kow,44086.22036669366
pHpzc,22836.73052987113
average Pauling electronegativity,16583.51155626977
average atomic weight (g/mol),13946.915225179666
E,9591.519460531352
Time h,253.1678983312478
AD g/L,8.507283868877625
pH,4.777067052404793
Tem,3.1575539098665693
Ci mg/L,2.723661013019187
